PLAY "Jogar"
EQUIPMENT_DESTRUCTION_EFFECT_NAME "destruição de equipamento"
EQUIPMENT_LABEL "Equipamento"
EQUIPS "{1} equipa {2}."
EXPERIENCE_EXPLANATION "A experiência aumenta todo atributo que pode ser ou já foi treinado. Se a criatura não tiver atributos treináveis, dano e defesa serão usados por padrão. Por exemplo, Dumbug, o goblin, tem +1 em treinamento de arco e flecha e +3 em treinamento corpo a corpo. Com +2 de experiência, seu dano, defesa e dano à distância são aumentados em mais +2."
EXPERIENCE_LABEL "Experiência:"
EXTRA_INTRINSIC_ATTACK "Ataque extra além da arma empunhada"
EYE_BODY_PART "olho"
NECK_BODY_PART "pescoço"
FALLS_INTO "{1} cai no(a) {2}."
FALLS_OFF "{1} cai de {2}."
FALLS_ON_THE "{1} cai sobre o(a) {2}."
FANGS_ATTACK "presas"
FEELS_LIKE_CRACKING_A_JOKE "{1} sente vontade de contar uma piada."
FEMALE "fêmea"
FEMALES "fêmeas"
FISTS_ATTACK "punhos"
FLOOR "chão"
FOBIDDEN_ZONE_WARNING "Entrar na zona proibida?"
FULLY_MATERIALIZED "totalmente materializado"
GENDERLESS "sem gênero"
GIVES_ITEMS_TO "{1} dá {2} para {3}."
GRANTS_YOU_A_WISH "{1} concede-lhe um desejo. O que você deseja?"
GROUP_TAKES_ONE_POP "O grupo inteiro ocupa um único slot de população."
HAIKU "haicai"
HEAD_BODY_PART "cabeça" "cabeças" : plural
HEALED_BY_RITUALS_HINT "Só pode ser curado por meio de rituais."
HEART "coração"
HE_BUILDS "{1} constrói {2}."
HE_FILLS_UP_TUNNEL "{1} preenche o túnel."
HE_READS "{1} lê {2}."
HERSELF "ela mesma"
HIDES_BEHIND_THE "{1} se esconde atrás do(a) {2}."
HIM "ele"
HIMSELF "ele mesmo"
HIS_BREATH_IS_FRESH_AGAIN "{1} volta a cheirar a flores."
HIS_BREATH_STINKS "{1} está com bafo fedido!"
HIS_CARRY_CAPACITY_INCREASES "{1} tem sua capacidade de carga aumentada!"
HIS_CARRY_CAPACITY_IS_LIMITED_AGAIN "{1} tem sua capacidade de carga limitada novamente."
HIS_INFECTION_SUBSIDES "{1} se recupera da infecção."
HIS_INTERNAL_ORGANS_ARE_CRUSHED "Os órgãos internos de {1} são esmagados!"
HIS_INTERNAL_ORGANS_ARE_RIPPED_OUT "Os órgãos internos de {1} são arrancados!"
HIS_LIFE_WILL_BE_SAVED "A vida de {1} será salva."
HIS_SPURS_STOP_SPINNING "Os esporões de {1} param de girar."
HOSTILE_LABEL "Hostil"
ICE_EFFECT_DESCRIPTION "Congela água e causa dano por frio."
ICE_EFFECT_NAME "gelo"
IMMIGRANTS_LABEL "imigrantes"
INTRINSIC_ATTACKS_LABEL "Ataques intrínsecos"
IS_BLEEDING "{1} está sangrando!"
IS_CAPTURED "{1} foi capturado."
IS_DROWNED_BY "{1} foi afogado por {2}."
IS_EATEN_BY "{1} foi devorado por {2}."
IS_EXTINGUISHED "As chamas de {1} foram extintas."
IS_LESS_AWARE_OF_DANGER "{1} está menos ciente do perigo."
IS_LESS_PEACEFUL "{1} está menos pacífico."
IS_LESS_RESISTANT_TO_CAPTURING "{1} está menos resistente à captura."
IS_MENTALLY_STABLE_AGAIN "{1} está mentalmente estável novamente."
IS_MENTALLY_UNSTABLE "{1} se torna mentalmente instável."
IS_NO_LONGER_COVERED_IN_OIL "{1} não está mais coberto de óleo."
IS_NO_LONGER_FROZEN "{1} não está mais congelado."
IS_NO_LONGER_INVISIBLE "{1} não está mais invisível."
IS_NO_LONGER_POISONED "{1} não está mais envenenado."
IS_NO_LONGER_TELEPATHIC "{1} não está mais telepático."
IS_OFFENDED "{1} está ofendido."
IS_SUCKED_INTO "{1} foi sugado para {2}."
IS_SUFFERING_FROM_POISONING "{1} está sofrendo envenenamento."
ITEM_BURNING "(queimando)"
ITEM_EQUIPED "Equipado."
ITEM_FROM_INGREDIENT " de "
ITEM_MATERIAL_LABEL "Material:"
ITEM_NOT_EQUIPED "Ainda não equipado."
ITEM_REQUIRES_SKILL_LEVEL "Nível de habilidade necessário:"
ITEM_REQUIRES_UPGRADES "O item não pode ser fabricado sem melhorias aplicadas."
ITEM_UPGRADE_BUTTON "melhoria"
JUMP_EFFECT_DESCRIPTION "Pule!"
JUMP_EFFECT_NAME "pular"
KICK "Você chuta {1}."
KICKS "{1} chuta {2}."
LARGER "maior"
LAUGH "Você ri."
LAUGHS "{1} ri."
LAZY "preguiçoso"
LEFT_TRIGGER_TO_CLEAR "Gatilho esquerdo para limpar"
LIMERICK "poema humorístico"
LOCAL_DUNGEONS "Local:"
LOCATE_MINION_BUTTON "Localizar"
LYING_HERE_LABEL "Localizado aqui:"
MALE "masculino"
MALES "masculinos"
MELEE_AI_NAME "Corpo a corpo"
MINIONS_BY_ABILITY_LABEL "Lacaios por habilidade:"
MORE_SKILLED "mais habilidoso"
MOVE_MAY_HARM_ALLIES "Este movimento pode ferir aliados!"
MUSHROOM "cogumelo"
NEW_TEAM_BUTTON "[novo time]"
NEW_TEAM_BUTTON_HINT "Arraste e solte lacaios no botão [novo time] para criar um novo time. Você pode arrastá-los tanto do mapa quanto dos menus."
NO_LONGER_AGGRAVATES_ENEMIES "{1} não provoca mais inimigos."
NO_QUARTERS_ASSIGNED_YET "Nenhum alojamento atribuído ainda"
NORMAL_GAME_SPEED "normal"
OBSCENE "obsceno"
ONE_ITEM_AVAILABLE "(um item disponível)"
ONLINE_DUNGEONS "Online:"
OPEN_WORLD_MAP_HINT "Abrir mapa-múndi."
OTHER_EQUIPMENT_LABEL "Outros"
OVERLOADED "sobrecarregado"
PAUSE_BUTTON "pausar"
PETS "{1} acaricia {2}."
PHYLACTERY_EFFECT_DESCRIPTION "Define ou usa uma filactéria."
PHYLACTERY_EFFECT_NAME "filactéria"
POTION "poção"
YOUR_PROJECTILES_WILL_HIT_ALLIES "Seus projéteis atingirão aliados."
HIS_PROJECTILES_WILL_HIT_ALLIES "Os projéteis de {1} atingirão aliados."
PROMOTIONS_LABEL "Promoções:"
PULL_EFFECT_DESCRIPTION "Puxa uma criatura em direção ao lançador."
PULL_EFFECT_NAME "puxar"
PUNCH "Você soca {1}."
PUNCHES "{1} soca {2}."
PECK "Você bicuda {1}."
PECKS "{1} bicuda {2}."
PUTS_ON_SUNGLASSES "{1} coloca {2} óculos escuros."
TURNS_INTO_WOMAN "{1} se transforma em uma jovem e bela mulher!"
YOU_TURN_INTO_WOMAN "Você se transforma em uma jovem e bela mulher!"
TURNS_BACK_INTO_WITCH "{1} volta a ser uma bruxa velha!"
YOU_TURN_BACK_INTO_WITCH "Você volta a ser uma bruxa velha!"
BUFF_ADJECTIVE_WITCH "Disfarçado"
BUFF_WITCH "disfarçar"
BUFF_DESC_WITCH "Assume a aparência de uma jovem mulher. Faz com que todas as outras criaturas fiquem amigáveis."
QUARTERS_LABEL "Alojamentos:"
QUARTERS_UNASSIGNED_LABEL "Não atribuído"
RANDOM_POLYMORPH_EFFECT_DESCRIPTION "Transforma a criatura em uma forma aleatória."
REGAINS_SANITY "{1} recupera a sanidade."
REGROW_BODY_PART_EFFECT_DESCRIPTION "Faz com que partes do corpo perdidas cresçam novamente."
REGROW_BODY_PART_EFFECT_NAME "regenerar parte do corpo"
REMOVES_SUNGLASSES "{1} remove os óculos escuros de {2}."
REQUIRES_ALLY_DISCOVERED_AND_HAVE_RECRUITS "O aliado deve ser descoberto e ter recrutas disponíveis."
REROLL_MAP_BUTTON "Refazer mapa"
RESEARCH_LABEL "Pesquisa:"
RETURNS_TO_YOUR_PREVIOUS_FORM "{1} retorna à sua forma anterior."
REVIVE_CORPSE_EFFECT_DESCRIPTION "Reanima um cadáver como servo."
REVIVE_CORPSE_EFFECT_NAME "reanimar cadáver"
RIDERS "cavaleiros"
RIGHT_CLICK_TO_CLEAR "Clique com o botão direito para limpar"
SCREAM "Você grita!"
SCREAMS "{1} grita!"
SCROLL_ITEM "pergaminho"
SCROLL_TO_KEEPER_HINT "Rolar para o seu personagem."
SEARCH_DUNGEONS "Buscar:"
SET_CURRENT_ACTIVITY_LABEL "Definir atividade atual"
SONNET "soneto"
SPECIAL_CRAFTING_INGREDIENT "Ingrediente especial de artesanato"
SPINE_BODY_PART "espinha"
SPINS_HIS_SPURS "{1} gira {2} esporões."
SUBSCRIBED_DUNGEONS "Inscrito:"
SUICIDE_EFFECT_DESCRIPTION "Faz com que o atacante morra."
SUICIDE_EFFECT_NAME "suicídio"
SUNLIGHT_WARNING "Caminhar para a luz do sol?"
SURPRISE "Surpresa"
SWINGS "{1} brandi {2} {3} contra {4}."
TEAMS_LABEL "Equipes:"
TECHNOLOGY_LABEL "tecnologia"
TELEPORT_EFFECT_DESCRIPTION "Teletransportar para qualquer local próximo."
TELEPORT_EFFECT_NAME "teletransportar"
THE_PRESENCE_OF_A_MAGICAL_FIELD "a presença de um campo mágico"
THROWS "{1} arremessa {2}."
THRUST "Você enfia seu {1} em {2}."
THRUSTS "{1} enfia {2} {3} em {4}."
THRUSTS_ITSELF "{1} se lança contra {2}."
THRUST_YOURSELF "Você se lança contra {1}."
TIME_REMAINING_TILL_DAY "Tempo restante até o dia."
TIME_REMAINING_TILL_NIGHTFALL "Tempo restante até o anoitecer."
SUNLIGHT_INFO_DESCRIPTION_AND_TIMEOUT "{1} [{2}]"
DAY "dia"
NIGHT "noite"
TORSO_BODY_PART "torso" "torso" : plural
TOUCH "Você toca {1}."
TOUCHES "{1} toca {2}."
TRANSFER_TASK "Ir para local"
TRAVEL_COMMAND_TIP "Use o comando de viagem enquanto controla um lacaio ou equipe para viajar a outro local."
UNREALIZED_EXPERIENCE_LABEL "Experiência não realizada:"
UNRESTRICT_ALL_EQUIPMENT "Remover todas as restrições"
UPGRADES_NEED_TO_BE_PLACED_IN_STORAGE "Observe que as melhorias precisam estar em armazenamento colocado antes de poderem ser adicionadas."
UPLOAD_BUTTON "Enviar"
UPDATE_BUTTON "Atualizar"
USED_WHEN_NO_WEAPON "Usado quando nenhuma arma está equipada."
VILLAGE_ACTION_PILLAGE "saquear"
VILLAGE_ACTION_TRADE "comerciar"
VILLAIN_ATTACKING "atacando"
VISUAL_EFFECT_DESCRIPTION "Apenas um efeito visual."
VISUAL_EFFECT_NAME "efeito visual"
VULGAR "vulgar"
WAIT_HOW_MANY_TURNS "Esperar quantos turnos?"
WAIT_MULTIPLE_TURNS "Esperar vários turnos"
WALKING_INTO_FIRE_WARNING "Andar no fogo ou em tiles adjacentes vai te machucar. Continuar?"
WATER_VERY_DEEP_WARNING "A água está muito funda, tem certeza?"
WAVES "{1} acena {2} {3} para {4}."
WAVE "Você acena seu {1} para {2}."
X_TO_CLEAR "para limpar"
YES_AND_DONT_ASK_FOR_50_TURNS "Sim, e não perguntar novamente por 50 turnos."
YOU_AFRAID "Você fica subitamente com muito medo"
YOU_AGGRAVATE_ENEMIES "Você provoca inimigos."
YOU_ANGRY "Você fica subitamente muito furioso!"
YOU_ANGRY_HALLU "Esta será uma viagem muito longa."
YOU_APPLY "Você aplica {1}."
YOU_ARE_BURNING "Você está em chamas!"
YOU_ARE_CARRYING_TOO_MUCH "Você está carregando coisas demais para pegar isto."
YOU_ARE_EATEN_BY "Você é devorado por {1}!"
YOU_ARE_EXTINGUISHED "Suas chamas se apagam."
YOU_ARE_LESS_AWARE_OF_DANGER "Você está menos ciente do perigo."
YOU_ARE_LESS_PEACEFUL "Você está menos pacífico."
YOU_ARE_LESS_RESISTANT_TO_CAPTURING "Você está menos resistente à captura."
YOU_ARE_MENTALLY_STABLE_AGAIN "Você se sente mentalmente estável novamente."
YOU_ARE_MENTALLY_UNSTABLE "Você se sente mentalmente instável!"
YOU_ARE_NO_LONGER_COVERED_IN_OIL "Você não está mais coberto de óleo."
YOU_ARE_NO_LONGER_FROZEN "Você descongela."
YOU_ARE_NO_LONGER_POISONED "Você não está mais envenenado."
YOU_ARE_NO_LONGER_TELEPATHIC "Você não está mais telepático."
YOU_ARE_STANDING_SOMEWHERE_ELSE "Você se vê em outro lugar!"
YOU_BURN_TO_DEATH "Você queima até a morte!"
YOU_CAN_CAST_SPELLS_AGAIN "Você pode lançar magias novamente!"
YOU_CAN_SEE_IN_THE_DARK "Agora você consegue enxergar no escuro!"
YOU_CAN_SEE_THRU_ARROWSLITS "Você consegue ver e atirar através de seteiras!"
YOU_CAN_SEE_THRU_TREES "Você consegue ver através de árvores!"
YOU_CANT_PICK_UP_ANYTHING "Você não consegue pegar nada!"
YOU_CANT_REMOVE_THIS_ITEM "Você não pode remover este item."
YOU_CANT_SEE_IN_THE_DARK "Você não consegue mais enxergar no escuro."
YOU_CANT_SEE_THRU_ARROWSLITS "Você não consegue mais enxergar através de seteiras."
YOU_CANT_SEE_THRU_TREES "Você não consegue mais enxergar através de árvores."
YOU_CANT_TRAVEL_WHILE "Você não pode viajar enquanto {2}!"
YOU_CANT_USE_THIS_ITEM "Você não pode usar este item."
YOU_CAPTURED "Você foi capturado!"
YOU_CHAT_WITH "Você conversa com {1}."
YOU_COLLAPSE "Você cai no chão!"
YOU_COVER_YOUR_NOSE "Você cobre o nariz."
YOU_DIE_OF_PLAGUE "Você morre de peste!"
YOU_DISMOUNT "Você desmonta de {1}."
YOU_DONT_HAVE_THIS_SKILL "Você não possui esta habilidade."
YOU_DONT_KNOW_HOW_TO_LEAVE "Você não sabe como sair desta área."
YOU_DRINK "Você bebe {1}."
YOU_ENTER_PORTAL "Você entra no portal."
YOU_EQUIP "Você equipa {1}."
YOU_FALL_ASLEEP "Você cai no sono."
YOU_FALL_OFF "Você cai de {1}!"
YOU_FALL_ON_THE "Você cai sobre o {1}!"
YOU_FEEL_LIKE_A_DANCING_FOOL "Você se sente um bobo dançante!"
YOU_FREAK_OUT "Você entra em pânico!"
YOU_GIVE_ITEM_TO "Você entrega {1} para {2}."
YOU_HAVE_NO_HEALTHY_ARMS "Você não tem braços saudáveis!"
YOU_HEAR_A_LOUD_SPLASH "Você ouve um alto splash."
YOU_HEAR_HORRIBLE_SCREAM "Você ouve um grito horrível!"
YOU_HEAR_SNORING "Você ouve roncos."
YOU_HEAR_SOMEONE_DROWNING "Você ouve um alto barulho de água."
YOU_NO_LONGER_AGGRAVATE_ENEMIES "Você não provoca mais os inimigos."
YOU_NO_LONGER_INVISIBLE "Você não está mais invisível."
YOU_PET "Você acaricia {1}."
YOU_PUT_ON_SUNGLASSES "Você coloca seus óculos de sol."
YOUR_BREATH_IS_FRESH_AGAIN "Você cheira a flores novamente."
YOUR_BREATH_STINKS "Seu hálito fede!"
YOUR_CARRY_CAPACITY_INCREASES "Sua capacidade de carga aumenta!"
YOUR_CARRY_CAPACITY_IS_LIMITED_AGAIN "Sua capacidade de carga volta a ser limitada."
YOU_READ "Você lê {1}."
YOU_REGAIN_CONSIOUSNESS "Você recupera a consciência."
YOU_REGAIN_SANITY "Você recupera a sanidade."
YOU_REMOVE_SUNGLASSES "Você tira seus óculos de sol."
YOU_RETURN_TO_YOUR_PREVIOUS_FORM "Você retorna à sua forma anterior."
YOUR_INFECTION_SUBSIDES "Sua infecção diminui."
YOUR_LIFE_WILL_BE_SAVED "Sua vida será salva."
YOUR_SPURS_STOP_SPINNING "Seus esporões param de girar."
YOU_SHATTER "Você se estilhaça em mil pedaços!"
SHATTERS "{1} se estilhaça em mil pedaços!"
YOU_SPIN_YOUR_SPURS "Você gira seus esporões."
YOU_STOP_BURNING "Você para de queimar."
YOU_THROW "Você joga {1}."
YOU_TRIGGER_SOMETHING "Você aciona algo."
YOU_WAKE_UP "Você acorda!"
PARENTHESES "({1})"
SPACE "{1} {2}"
AND "{1} e {2}"
NO_SPACE "{1}{2}"
BODY_SIZE_AND_MATERIAL_AND_LIMBS "{1} e feito de {2} {3}."
WITH_LIMB "com {1}"
BUFF_DESC_PREGNANT "Isso não é um sonho! Isso está realmente acontecendo!"
BUFF_DESC_SLOWED "Causa movimento anormalmente lento."
BUFF_DESC_SPEED "Concede um movimento extra a cada turno."
BUFF_DESC_BLIND "Causa cegueira"
BUFF_DESC_INVISIBLE "Torna você invisível para os inimigos."
BUFF_DESC_PLAGUE "Diminui a saúde a cada turno quando está acima de 50%. Uma pequena porcentagem de criaturas pode morrer, outras não sofrem com a perda de saúde."
BUFF_DESC_PLAGUE_RESISTANT "Protege contra infecção de peste."
BUFF_DESC_POISON "Diminui a saúde a cada turno um pouco."
BUFF_DESC_POISON_RESISTANT "Concede resistência a veneno."
BUFF_DESC_FLYING "Causa levitação."
BUFF_DESC_COLLAPSED "Mover-se pelos tiles leva três vezes mais tempo."
BUFF_DESC_PANIC "Aumenta a defesa e reduz o dano."
BUFF_DESC_RAGE "Aumenta o dano e reduz a defesa."
BUFF_DESC_HALLU "Causa alucinações."
BUFF_DESC_SLEEP_RESISTANT "Impede que seja posto para dormir."
BUFF_DESC_SLEEP "Põe para dormir."
BUFF_DESC_IMMOBILE "A criatura não se move."
BUFF_DESC_TIED_UP "teia"
BUFF_DESC_ENTANGLED "teia"
BUFF_DESC_STUNNED "Permite escravizar como prisioneiro, caso contrário a criatura morrerá."
BUFF_DESC_INSANITY "Torna o alvo hostil a todas as criaturas."
BUFF_DESC_PEACEFULNESS "Torna o alvo amigável a todas as criaturas."
BUFF_DESC_CAPTURE_RESISTANCE "Aumenta a defesa em 30% quando a ordem de captura é dada."
BUFF_DESC_DARKNESS_SOURCE "Faz com que a área mais próxima fique escura. Protege os mortos-vivos da luz solar."
BUFF_DESC_LIGHT_SOURCE "Ilumina os arredores mais próximos."
BUFF_DESC_NIGHT_VISION "Permite visão no escuro a distância total."
BUFF_DESC_ELF_VISION "Permite ver e atirar através de árvores."
BUFF_DESC_ARCHER_VISION "Permite ver e atirar através de seteiras."
BUFF_DESC_WARNING "Avisa sobre inimigos perigosos e armadilhas."
BUFF_DESC_TELEPATHY "Permite detectar outras criaturas com cérebros."
BUFF_DESC_SUNLIGHT_VULNERABLE "A luz solar faz seu corpo se desfazer em poeira."
BUFF_DESC_SATIATED "Aumenta a moral e melhora a defesa em +1."
BUFF_DESC_RESTED "Aumenta a moral e melhora a defesa em +1."
BUFF_DESC_SUMMONED "Desaparecerá após o número determinado de turnos."
BUFF_DESC_FAST_CRAFTING "Aumenta a velocidade de fabricação."
BUFF_DESC_FAST_TRAINING "Aumenta a velocidade de treinamento e estudo."
BUFF_DESC_SLOW_CRAFTING "Diminui a velocidade de fabricação."
BUFF_DESC_SLOW_TRAINING "Diminui a velocidade de treinamento e estudo."
BUFF_DESC_ENTERTAINER "Faz piadas, aumentando a moral das criaturas próximas."
BUFF_DESC_BAD_BREATH "Diminui a moral de todas as criaturas próximas."
BUFF_DESC_ON_FIRE "A criatura está queimando viva."
BUFF_DESC_FROZEN "A criatura está congelada e não pode se mover."
BUFF_DESC_MAGIC_CANCELLATION "Impede de lançar qualquer feitiço."
BUFF_DESC_DISAPPEAR_DURING_DAY "Esta criatura só está ativa à noite e desaparece ao amanhecer."
BUFF_DESC_NO_CARRY_LIMIT "A criatura pode carregar itens sem limite de peso."
BUFF_DESC_SPYING "A criatura pode se infiltrar nas linhas inimigas."
BUFF_DESC_LIFE_SAVED "Impede a morte da criatura."
BUFF_DESC_UNSTABLE "A criatura pode enlouquecer após testemunhar a morte de um aliado."
BUFF_DESC_OIL "A criatura está coberta de óleo e pode ser incendiada."
BUFF_DESC_SWARMER "Concede bônus de dano e defesa para cada outro enxameador nas proximidades."
BUFF_DESC_PSYCHIATRY "A criatura não será atacada por criaturas insanas."
BUFF_DESC_TURNED_OFF "A criatura requer mais motores de autômato construídos."
BUFF_DESC_DRUNK "Compromete as habilidades de combate."
BUFF_DESC_NO_FRIENDLY_FIRE "Flechas e outros projéteis ignoram aliados e atingem apenas inimigos."
BUFF_DESC_POLYMORPHED "A criatura voltará à sua forma original."
BUFF_DESC_AGGRAVATES "Torna os inimigos mais agressivos e mais propensos a atacar a base."
BUFF_DESC_CAN_DANCE "Pode dançar a noite toda."
BUFF_DESC_STEED "Pode carregar um cavaleiro."
BUFF_DESC_RIDER "Pode montar uma montaria."
BUFF_DESC_LOCKED_POSITION "Criaturas não podem trocar de posição com este autômato."
CANT_CAST_SPELLS_BECAUSE_OF "Você não pode lançar feitiços enquanto estiver sob o efeito de {1}."
FLIES_AWAY "{1} voa para longe."
ITEM_TOO_HEAVY "{1} é muito pesado!"
OBJECT_CRASHES_ON "{1} cai sobre {2}."
PLURAL_ITEMS_A "{2} {1}"
PLURAL_ITEMS_THE "{2} {1}"
REACHES_EXP_LEVEL "{1} atinge o nível de experiência {2}."
SPECIAL_ATTR_ADJECTIVE "{1} {2} {3}"
TORTURES "{1} tortura {2}."
WHIPS "{1} açoita {2}."
YOU_ARE_TOO_SMALL_TO_PUSH "Você é pequeno demais para empurrar {1}."
YOU_NEED_TO_HANDS_TO_WIELD "Você precisa de duas mãos para empunhar {1}!"
AGAINST "contra {1}"
CREATURES_WITH_AT_LEAST_X_KILLS "criaturas com pelo menos {1} abates"
CREATURES_WITH_ATTR_AT_LEAST "criaturas com pelo menos {1} {2}"
CREATURES_WITH_MAX_TRAINING_LEVEL_BELOW "criaturas com nível máximo de treinamento abaixo de {1}"
ADD_INTRINSIC_ATTACK_EFFECT_DESCRIPTION "Adiciona um ataque extra de {1}"
ADD_INTRINSIC_ATTACK_EFFECT_NAME "ataque extra de {1}"
AREA_EFFECT_DESCRIPTION "Efeito de área de raio {1}: {2}"
AREA_EFFECT_NAME "Efeito de área: {1}"
A_TRAP_IS_TRIGGERED "Uma armadilha de {1} é acionada"
BUFF_EFFECT_DESCRIPTION "{1} Dura {2} turnos."
COMPANION_EFFECT_DESCRIPTION "Concede um companheiro permanente de {1}"
CUSTOM_AREA_EFFECT_DESCRIPTION "Efeito de área personalizado: {1}"
CUSTOM_AREA_EFFECT_NAME "Área personalizada: {1}"
DAMAGE_EFFECT_DESCRIPTION "Causa {1}"
EMIT_GAS_DESCRIPTION "Emite {1}"
EXTRA_BODY_PART_EFFECT_DESCRIPTION "Adiciona um(a) {1}"
EXTRA_BODY_PART_EFFECT_NAME "extra {1}"
EXTRA_BODY_PARTS_EFFECT_DESCRIPTION "Adiciona {1}"
EXTRA_BODY_PARTS_EFFECT_NAME "extra {1}"
FIXED_DAMAGE_EFFECT_DESCRIPTION "Causa {2} {1}"
FIXED_DAMAGE_EFFECT_NAME "{2} {1}"
INJURE_BODY_PART_EFFECT_DESCRIPTION "Fere {1}"
INJURE_BODY_PART_EFFECT_NAME "ferir {1}"
LOSE_BODY_PART_EFFECT_DESCRIPTION "Faz você perder {1}"
LOSE_BODY_PART_EFFECT_NAME "perder {1}"
REMOVE_ABILITY_EFFECT_DESCRIPTION "Remove habilidade: {1}"
REMOVE_ABILITY_EFFECT_NAME "remover {1}"
REMOVE_BUFF_DESCRIPTION "Remove ou cura de {1}"
REMOVE_BUFF_NAME "remover {1}"
SPELL_SCHOOL_EFFECT_DESCRIPTION "Concede a escola de magia {1}"
SPELL_SCHOOL_EFFECT_NAME "Conceder escola de magia {1}"
TECH_EFFECT_DESCRIPTION "Fornece {1}"
YOU_ARE_GRANTED_A_WISH "Você recebeu um desejo! O que deseja?"
YOU_CANT_SWAP_POSITION_WITH "Você não pode trocar de posição com {1}"
OBJECT_FILLS_HOLE "{1} preenche o {2}."
STATUE_OF_SAINT "{1} de São {2}"
ACHIEVEMENT_UNLOCKED "Conquista desbloqueada: {1}"
AND_SO_DIES "E assim morre {1}."
AND_SO_DIES_OF_REASON "E assim morre {1}, {2}."
NO_FUNCTIONAL_BODY_PART "Nenhuma parte do corpo funcional: {1}"
X_TO_VILLAGE_ACTION " para {1}"
ITEM_BURNS_OUT "{1} se consome."
ITEM_CATCHES_FIRE "{1} pega fogo."
ITEM_DISAPPEARS "{1} desaparece!"
ITEM_NAMED "chamado {1}"
ITEM_NAME_WITH_SUFFIXES "{1} {2}"
ITEM_PREFIX "{2} {1}"
ITEM_PREFIX_SHORT "{2}"
ITEM_PRICE "({1} de ouro)"
ITEM_SUFFIX "{1} {2}"
ITEM_SUFFIXES "{1}"
USES_LEFT "{1} ({2} usos restantes)"
ITEM_ATTR_IMPROVED_BY "Atributos do item são melhorados em {1}"
BALSAM_OF "bálsamo de {1}"
    "bálsamos de {1}" : plural
BODY_PART_OF "{1} {2}"
BOOK_OF "livro de {1}"
    "livros de {1}" : plural
MUSHROOM_OF "cogumelo de {1}"
    "cogumelos de {1}" : plural
POTION_OF "poção de {1}"
    "poções de {1}" : plural
BREAKS_FREE_FROM "{1} se liberta de {2}."
CAN_SEE_YOU_HIDING "{1} consegue ver você se escondendo."
CUTS_TENTACLE "{1} corta o tentáculo do kraken."
YOU_BECOME "Você se torna {1}."
YOU_BURN_IN "Você queima no {1}."
YOU_DROWN_IN "Você se afoga no {1}."
ADDS_TRAINING_LEVELS "Adiciona até {1} níveis de {2}."
BUILDINGS_COUNT_AVAILABLE "({1} disponível)"
CHALLENGES_YOU_TO_A_DUEL "{1} te desafia para um duelo. Você aceita?"
COMBINE_SENTENCES "{1} {2}"
COST_DOUBLES_FOR_EVERY "O custo dobra a cada {1} {2}."
FIRST_X_ARE_FREE "Os primeiros {1} {2} são gratuitos."
INCREASES_LUXURY_BY "Aumenta o luxo em {1}."
INCREASES_POP_LIMIT_BY "Aumenta o limite de {1} em {2}."
INCREASES_POP_LIMIT_BY_UP_TO "Aumenta o limite de {1} em {2}, até {3}."
IS_ENGAGED_IN_A_FIGHT_WITH "{2} está em combate com {1}."
ITEM_INFO_NAME_COMPANION_STEED "{1} (companheiro)"
ITEM_WONT_BE_ASSIGNED_BECAUSE_SLOT_LOCKED "{1} não será atribuído permanentemente porque o espaço está bloqueado."
JOINS_YOUR_TEAM "{1} se junta à sua equipe."
MISSING_TECHNOLOGY "Requer tecnologia: {1}"
MULTIPLE_ITEMS "{1} {2}"
PERMANENT_TRAIT "Característica permanente: {1}"
TEMPORARY_TRAIT "Característica temporária: {1} ({2} turnos)"
TOME_ACQUIRED "Você adquiriu o conhecimento de {1}."
TOME_ALREADY_KNOWN "Você já possui o conhecimento de {1}."
TOME_CANT_BE_USED "Você não compreende o conhecimento de {1}."
CANT_TRAVEL_WHILE_BEING_ATTACKED_BY "Você não pode viajar enquanto está sendo atacado por {1}."
DROP_HOW_MANY "Largar quantos {1}?"
WALKING_INTO_X_WARNING "Caminhar até o {1}?"
EAT_AT_TASK "Comer em {1}"
FOLLOW_TASK "Seguir {1}"
WHIPPING_TASK "Açoitando {1}"
STOMACH "estômago"
CANT_MOVE "{1} não pode se mover!"
YOU_CANT_MOVE "Você não pode se mover!"
GROUP "grupo"
HUMANOIDS "humanoides"
FIRE_EFFECT_DESCRIPTION "Queima!"
FIRE_EFFECT_NAME "fogo"
HE "ele"
HER "ela"
HIS "dele"
IT "ele/ela"
ITS "dele/dela"
SHE "ela"
FAST_GAME_SPEED "rápido"
RANGED_WEAPON "arma de longo alcance"
RANGED_WEAPONS "armas de longo alcance"
BALSAM "bálsamo"
CORPSE "cadáver"
FIRE "fogo"
GLYPH "{1} glifo"
    "{1} glifos" : plural
GLYPH_BLIND "glifo"
UPGRADE_TYPE_GLYPH "glifo"
UPGRADE_TYPE_BALSAM "bálsamo"
UPGRADE_TYPE_BODY_PART "parte do corpo"
UPGRADE_TYPE_AUTOMATON_PART "parte de autômato"
LEGS "pernas"
POEM "poema"
POEM_WITH_TYPE "{1} {2}"
SCROLL "pergaminho"
SKELETON "esqueleto"
SKULL "crânio"
SPELL "feitiço"
ABILITY "habilidade"
PLAGUE "peste"
STOPS_BURNING "{1} para de queimar."
FEELS_THE_PRESENCE_OF_A_MAGICAL_FIELD "{1} sente a presença de um campo mágico."
YOU_FEEL_THE_PRESENCE_OF_A_MAGICAL_FIELD "Você sente a presença de um campo mágico."
